Provider,Total_Inpatient_Claims,Total_Claim_Amt,Avg_Claim_Amt,Claim_Amt_Std,Total_Deductible_Amt,Patient_Risk_Profile,Avg_PartA_Coverage,Avg_Alzheimer_Risk,Avg_HeartFailure_Risk,Avg_KidneyDisease_Risk,Avg_Cancer_Risk,Avg_Annual_Reimbursement,PotentialFraud
PRV51108,19,156000,8210.526315789473,5633.027086038801,19224.0,2.3684210526315788,12.0,0.5789473684210527,0.6842105263157895,0.6842105263157895,0.21052631578947367,13471.052631578947,No
PRV51109,3,18000,6000.0,2645.7513110645905,3204.0,2.3333333333333335,12.0,0.6666666666666666,0.6666666666666666,1.0,0.0,7833.333333333333,No
PRV51110,5,27000,5400.0,2509.980079602227,5340.0,2.6,12.0,0.6,0.8,0.8,0.0,5456.0,No
PRV51118,16,136000,8500.0,5738.757124441959,14952.0,1.6875,12.0,0.25,0.75,0.5,0.125,21635.0,No
PRV51119,94,985000,10478.72340425532,13905.772548863895,96120.0,2.223404255319149,11.74468085106383,0.5,0.7127659574468085,0.5531914893617021,0.22340425531914893,22281.063829787236,Yes
PRV51120,7,52000,7428.571428571428,4649.628761422531,7476.0,2.5714285714285716,12.0,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.2857142857142857,13302.857142857143,No
PRV51121,6,81000,13500.0,16404.26773739078,6408.0,1.5,12.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,19375.0,No
PRV51123,2,9000,4500.0,707.1067811865476,2136.0,2.0,12.0,0.5,0.5,0.5,0.0,9000.0,No
PRV51125,12,110000,9166.666666666666,8122.173167921069,12816.0,2.0,12.0,0.4166666666666667,0.5833333333333334,0.5,0.4166666666666667,9845.0,No
PRV51126,20,177000,8850.0,6200.806399170997,21360.0,2.7,12.0,0.6,0.9,0.65,0.05,18870.0,Yes
PRV51128,5,90000,18000.0,10295.630140987001,5340.0,3.4,12.0,0.8,1.0,0.8,0.8,43276.0,No
PRV51132,1,4000,4000.0,0.0,1068.0,1.0,12.0,0.0,0.0,1.0,0.0,4000.0,No
PRV51136,1,20000,20000.0,0.0,1068.0,0.0,12.0,0.0,0.0,0.0,0.0,20000.0,No
PRV51137,1,6000,6000.0,0.0,1068.0,1.0,12.0,1.0,0.0,0.0,0.0,27000.0,No
PRV51138,1,6000,6000.0,0.0,1068.0,0.0,12.0,0.0,0.0,0.0,0.0,6300.0,No
PRV51139,7,41300,5900.0,3911.947511576981,7476.0,2.142857142857143,12.0,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.14285714285714285,5962.857142857143,No
PRV51140,47,307400,6540.425531914893,4119.500791541113,49128.0,2.0425531914893615,12.0,0.40425531914893614,0.6595744680851063,0.5957446808510638,0.2127659574468085,14210.425531914894,No
PRV51142,7,97000,13857.142857142857,19701.341506173052,7476.0,2.7142857142857144,12.0,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.14285714285714285,22231.428571428572,No
PRV51144,4,53000,13250.0,13475.286020464773,4272.0,1.75,12.0,0.5,1.0,0.25,0.0,13307.5,No
PRV51145,161,1600600,9941.614906832297,8862.015565083171,166608.0,2.2546583850931676,11.925465838509316,0.5527950310559007,0.6956521739130435,0.5403726708074534,0.20496894409937888,19313.91304347826,Yes
PRV51146,162,1618200,9988.888888888889,9909.534902687294,170880.0,2.111111111111111,11.88888888888889,0.47530864197530864,0.7098765432098766,0.5308641975308642,0.2037037037037037,15511.41975308642,Yes
PRV51148,34,398400,11717.64705882353,9772.951869076922,35244.0,2.4411764705882355,12.0,0.3235294117647059,0.8235294117647058,0.7647058823529411,0.2647058823529412,24529.41176470588,Yes
PRV51149,116,1113000,9594.827586206897,8857.302021521551,123888.0,2.310344827586207,11.793103448275861,0.45689655172413796,0.7586206896551724,0.646551724137931,0.15517241379310345,17921.55172413793,Yes
PRV51151,22,142000,6454.545454545455,4067.610422035835,22428.0,2.090909090909091,11.454545454545455,0.45454545454545453,0.6363636363636364,0.5,0.3181818181818182,12178.181818181818,No
PRV51153,4,51000,12750.0,14314.910641239318,4272.0,1.75,12.0,0.0,0.75,0.5,0.5,16212.5,No
PRV51159,65,635660,9779.384615384615,8873.239240287878,69420.0,2.0615384615384613,11.815384615384616,0.5230769230769231,0.6153846153846154,0.5538461538461539,0.15384615384615385,14542.615384615385,Yes
PRV51160,90,866000,9622.222222222223,9706.453057698182,96120.0,2.388888888888889,11.733333333333333,0.45555555555555555,0.7333333333333333,0.6888888888888889,0.2777777777777778,17171.88888888889,No
PRV51164,41,443000,10804.878048780487,9505.83902713254,43788.0,2.4634146341463414,11.707317073170731,0.5121951219512195,0.7804878048780488,0.6341463414634146,0.17073170731707318,14823.658536585366,No
PRV51165,26,306000,11769.23076923077,13063.866785321083,27768.0,2.3076923076923075,12.0,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.11538461538461539,16026.923076923076,No
PRV51166,1,22000,22000.0,0.0,1068.0,0.0,12.0,0.0,0.0,0.0,0.0,22000.0,No
PRV51168,9,63000,7000.0,7000.0,9612.0,2.6666666666666665,12.0,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.2222222222222222,14351.111111111111,No
PRV51170,8,145000,18125.0,19628.24131558549,8544.0,2.0,12.0,0.25,0.75,0.625,0.0,24706.25,Yes
PRV51173,7,90000,12857.142857142857,9172.941575244942,7476.0,1.4285714285714286,12.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.14285714285714285,17122.85714285714,Yes
PRV51178,34,422000,12411.764705882353,10348.81825213325,36312.0,2.235294117647059,11.647058823529411,0.47058823529411764,0.7352941176470589,0.6470588235294118,0.17647058823529413,21243.235294117647,Yes
PRV51180,2,47000,23500.0,24748.737341529162,2136.0,1.5,12.0,0.5,0.5,0.0,0.5,26100.0,No
PRV51183,41,336800,8214.634146341463,9372.768026992073,42720.0,2.1463414634146343,12.0,0.43902439024390244,0.6829268292682927,0.6341463414634146,0.14634146341463414,15858.048780487805,No
PRV51190,3,24000,8000.0,6244.9979983983985,3204.0,2.3333333333333335,12.0,1.0,0.6666666666666666,0.6666666666666666,0.0,8500.0,No
PRV51194,2,18000,9000.0,7071.067811865475,2136.0,0.5,12.0,0.0,0.5,0.0,0.0,9000.0,No
PRV51207,3,51000,17000.0,19313.207915827967,3204.0,2.3333333333333335,12.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,47493.333333333336,No
PRV51231,2,16000,8000.0,0.0,2136.0,3.0,12.0,0.5,1.0,1.0,0.0,28000.0,No
PRV51232,1,26000,26000.0,0.0,1068.0,4.0,12.0,1.0,1.0,1.0,0.0,38360.0,No
PRV51233,3,27000,9000.0,7549.83443527075,3204.0,1.3333333333333333,12.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,12673.333333333334,No
PRV51234,5,29000,5800.0,5167.204273105525,5340.0,0.8,12.0,0.4,0.2,0.2,0.0,10802.0,No
PRV51235,2,10000,5000.0,0.0,2136.0,1.5,12.0,0.0,0.5,0.5,0.0,31400.0,No
PRV51236,1,12000,12000.0,0.0,1068.0,3.0,12.0,1.0,1.0,0.0,1.0,12100.0,No
PRV51237,1,19000,19000.0,0.0,1068.0,4.0,12.0,1.0,1.0,1.0,0.0,32000.0,No
PRV51238,8,132000,16500.0,11122.692377040989,4272.0,2.625,12.0,0.625,0.75,0.75,0.375,28575.0,No
PRV51239,1,5000,5000.0,0.0,1068.0,2.0,12.0,1.0,1.0,0.0,0.0,5000.0,No
PRV51240,11,81000,7363.636363636364,5371.642714714509,11748.0,1.4545454545454546,12.0,0.09090909090909091,0.36363636363636365,0.45454545454545453,0.36363636363636365,18681.81818181818,No
PRV51241,10,78000,7800.0,5613.475849338902,9612.0,3.0,12.0,0.8,1.0,0.7,0.0,23751.0,No
PRV51242,11,88000,8000.0,5196.152422706632,10680.0,1.6363636363636365,12.0,0.18181818181818182,0.6363636363636364,0.45454545454545453,0.0,9614.545454545454,Yes
PRV51244,200,1796100,8980.5,8186.314707636298,209328.0,2.115,11.94,0.465,0.675,0.6,0.165,16149.95,Yes
PRV51245,4,20000,5000.0,2708.01280154532,3204.0,2.0,12.0,0.5,0.75,0.5,0.0,13350.0,No
PRV51247,10,74000,7400.0,5680.375574437545,9612.0,2.2,12.0,0.2,1.0,0.7,0.2,14734.0,No
PRV51248,1,23000,23000.0,0.0,1068.0,4.0,12.0,1.0,1.0,1.0,0.0,43080.0,No
PRV51249,51,506000,9921.56862745098,11625.563448289122,51264.0,1.9411764705882353,12.0,0.5490196078431373,0.5882352941176471,0.47058823529411764,0.17647058823529413,18396.666666666668,Yes
PRV51252,18,142000,7888.888888888889,7267.080398367688,18156.0,2.0555555555555554,12.0,0.5,0.7222222222222222,0.5,0.2222222222222222,15090.555555555555,No
PRV51255,2,11000,5500.0,2121.3203435596424,2136.0,1.0,12.0,0.5,0.5,0.0,0.0,12500.0,No
PRV51258,8,98000,12250.0,7778.174593052023,8544.0,2.125,12.0,0.5,0.625,0.625,0.0,14167.5,No
PRV51259,4,150000,37500.0,39837.16857408418,4272.0,2.0,12.0,0.0,0.75,0.75,0.0,74520.0,No
PRV51260,3,78000,26000.0,19313.207915827967,3204.0,2.6666666666666665,12.0,0.6666666666666666,0.6666666666666666,1.0,0.0,26030.0,No
PRV51261,26,245000,9423.076923076924,7294.782118325821,26700.0,2.3846153846153846,12.0,0.5384615384615384,0.7307692307692307,0.6153846153846154,0.23076923076923078,16291.923076923076,No
PRV51263,18,210000,11666.666666666666,12884.098726725124,19224.0,2.1666666666666665,12.0,0.5555555555555556,0.7222222222222222,0.4444444444444444,0.2777777777777778,16605.555555555555,Yes
PRV51266,10,78300,7830.0,10148.897039142288,9612.0,1.7,12.0,0.2,0.7,0.5,0.1,9995.0,No
PRV51267,2,9000,4500.0,2121.3203435596424,2136.0,3.0,12.0,1.0,1.0,1.0,0.0,4560.0,No
PRV51271,2,17000,8500.0,6363.961030678927,2136.0,4.0,12.0,1.0,1.0,1.0,0.5,8675.0,No
PRV51272,2,22000,11000.0,9899.494936611665,2136.0,3.5,12.0,0.5,1.0,1.0,0.5,13500.0,No
PRV51274,10,165000,16500.0,18506.75552332175,10680.0,2.3,12.0,0.7,0.7,0.4,0.3,22004.0,No
PRV51276,14,116000,8285.714285714286,5594.345654024543,14952.0,2.5,12.0,0.42857142857142855,0.7857142857142857,0.6428571428571429,0.42857142857142855,14113.57142857143,No
PRV51277,10,121000,12100.0,15044.009512833412,10680.0,2.7,12.0,0.7,0.7,0.8,0.0,18859.0,No
PRV51282,8,66000,8250.0,6819.090848492928,8544.0,2.875,12.0,0.5,1.0,0.75,0.375,16035.0,No
PRV51284,17,182000,10705.882352941177,12312.41601942097,17088.0,2.176470588235294,12.0,0.5294117647058824,0.7058823529411765,0.6470588235294118,0.11764705882352941,16274.70588235294,No
PRV51285,15,161000,10733.333333333334,13992.174683763506,16020.0,2.2,12.0,0.4,0.6666666666666666,0.6,0.13333333333333333,14218.666666666666,No
PRV51286,15,136000,9066.666666666666,9223.159256278006,16020.0,2.3333333333333335,12.0,0.4666666666666667,0.6666666666666666,0.5333333333333333,0.13333333333333333,31425.333333333332,No
PRV51288,3,37000,12333.333333333334,14433.756729740644,3204.0,2.3333333333333335,12.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,37430.0,No
PRV51296,3,33000,11000.0,7211.102550927979,3204.0,2.0,12.0,0.3333333333333333,1.0,0.6666666666666666,0.0,14433.333333333334,No
PRV51297,5,51000,10200.0,7726.577508832744,5340.0,2.0,12.0,0.4,0.6,0.6,0.4,17066.0,No
PRV51300,7,93000,13285.714285714286,10980.502200328934,7476.0,2.5714285714285716,10.285714285714286,0.5714285714285714,1.0,0.7142857142857143,0.0,38945.71428571428,No
PRV51301,6,108000,18000.0,17447.06279005151,6408.0,2.3333333333333335,12.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.3333333333333333,19641.666666666668,No
PRV51302,10,76000,7600.0,7058.485830702093,10680.0,2.1,12.0,0.6,0.6,0.7,0.0,9080.0,No
PRV51304,2,28000,14000.0,15556.349186104046,2136.0,1.0,12.0,0.5,0.5,0.0,0.0,37500.0,No
PRV51305,11,98000,8909.09090909091,9974.512975123602,11748.0,2.3636363636363638,12.0,0.8181818181818182,0.8181818181818182,0.5454545454545454,0.0,13261.818181818182,No
PRV51311,3,13000,4333.333333333333,1527.5252316519466,3204.0,3.3333333333333335,12.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,9676.666666666666,No
PRV51312,4,19000,4750.0,2061.5528128088304,4272.0,1.5,12.0,0.25,0.5,0.75,0.0,8000.0,No
PRV51316,3,21000,7000.0,4358.898943540674,3204.0,1.6666666666666667,12.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,7093.333333333333,No
PRV51318,3,13000,4333.333333333333,1527.5252316519468,3204.0,2.0,12.0,0.3333333333333333,1.0,0.6666666666666666,0.0,7040.0,No
PRV51334,2,15000,7500.0,3535.5339059327375,2136.0,0.5,12.0,0.0,0.5,0.0,0.0,8100.0,No
PRV51336,10,116000,11600.0,8071.899129421499,10680.0,2.2,12.0,0.6,0.6,0.7,0.1,20887.0,No
PRV51337,40,350000,8750.0,8758.146390939592,41652.0,1.975,11.675,0.5,0.625,0.525,0.15,12753.25,Yes
PRV51338,7,73000,10428.57142857143,5255.382728122437,7476.0,1.8571428571428572,12.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.14285714285714285,15948.57142857143,Yes
PRV51342,28,319000,11392.857142857143,11056.552559335774,28836.0,2.107142857142857,12.0,0.39285714285714285,0.7142857142857143,0.5714285714285714,0.07142857142857142,14396.785714285714,No
PRV51344,2,19000,9500.0,707.1067811865476,2136.0,2.5,12.0,0.5,0.5,0.5,0.5,10300.0,No
PRV51346,5,41000,8200.0,4658.3258795408465,5340.0,2.0,12.0,0.4,0.6,0.4,0.0,10468.0,No
PRV51348,19,146000,7684.210526315789,6481.191862089594,20292.0,2.3684210526315788,12.0,0.5789473684210527,0.7368421052631579,0.7894736842105263,0.10526315789473684,18660.0,No
PRV51349,5,37000,7400.0,4159.326868617084,5340.0,2.4,12.0,0.4,0.8,0.6,0.0,9070.0,No
PRV51350,21,142000,6761.9047619047615,3562.369462938423,22428.0,2.3333333333333335,12.0,0.5238095238095238,0.6666666666666666,0.5238095238095238,0.42857142857142855,14265.238095238095,No
PRV51353,5,50000,10000.0,4636.809247747852,5340.0,1.8,12.0,0.4,0.6,0.4,0.4,16412.0,No
PRV51354,1,10000,10000.0,0.0,0.0,4.0,12.0,1.0,1.0,1.0,1.0,24000.0,No
PRV51355,15,134100,8940.0,7686.518810786286,16020.0,2.1333333333333333,12.0,0.4,0.6666666666666666,0.7333333333333333,0.13333333333333333,17429.333333333332,No
PRV51356,17,167000,9823.529411764706,8783.758407692341,17088.0,2.1176470588235294,12.0,0.4117647058823529,0.7647058823529411,0.5294117647058824,0.058823529411764705,13949.411764705883,No
PRV51357,13,170000,13076.923076923076,8331.281798754402,12816.0,2.4615384615384617,12.0,0.5384615384615384,0.6923076923076923,0.7692307692307693,0.15384615384615385,21513.076923076922,Yes
PRV51358,7,60000,8571.42857142857,4649.62876142253,7476.0,1.8571428571428572,12.0,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.14285714285714285,13578.57142857143,No
PRV51360,9,86000,9555.555555555555,9837.569708915804,9612.0,2.6666666666666665,12.0,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.2222222222222222,15200.0,No
PRV51362,6,141000,23500.0,26036.512823340992,6408.0,1.3333333333333333,12.0,0.5,0.5,0.3333333333333333,0.0,23891.666666666668,No
PRV51364,6,52000,8666.666666666666,5501.514942874069,6408.0,2.0,12.0,0.6666666666666666,0.5,0.5,0.16666666666666666,12131.666666666666,No
PRV51371,11,83400,7581.818181818182,4525.885146978032,11748.0,2.6363636363636362,12.0,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.2727272727272727,10181.818181818182,No
PRV51377,3,102000,34000.0,26514.147167125706,3204.0,2.3333333333333335,12.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,34020.0,No
PRV51378,108,1202000,11129.62962962963,9737.769796478422,112140.0,2.2962962962962963,11.777777777777779,0.4537037037037037,0.7777777777777778,0.6018518518518519,0.18518518518518517,23175.0,Yes
PRV51379,2,13000,6500.0,4949.747468305833,2136.0,2.5,12.0,0.5,0.5,1.0,0.0,25160.0,No
PRV51380,4,51000,12750.0,8808.140174482542,4272.0,1.75,12.0,0.5,0.75,0.5,0.0,12950.0,No
PRV51383,9,89000,9888.888888888889,9116.52955411823,9612.0,2.7777777777777777,12.0,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.2222222222222222,18937.777777777777,No
PRV51387,13,96000,7384.615384615385,5331.329751860874,13884.0,2.5384615384615383,11.076923076923077,0.6153846153846154,0.7692307692307693,0.5384615384615384,0.3076923076923077,9696.153846153846,No
PRV51388,14,159000,11357.142857142857,14710.577789505716,14952.0,2.5,12.0,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.21428571428571427,14668.57142857143,No
PRV51389,18,136000,7555.555555555556,4705.718951411485,19224.0,1.8888888888888888,12.0,0.3333333333333333,0.6666666666666666,0.5,0.2222222222222222,9430.555555555555,No
PRV51390,164,1577600,9619.512195121952,9410.057783597713,173016.0,2.25,12.0,0.5121951219512195,0.725609756097561,0.6280487804878049,0.15853658536585366,16635.121951219513,Yes
PRV51391,13,79500,6115.384615384615,5008.966319485847,12816.0,2.1538461538461537,12.0,0.38461538461538464,0.7692307692307693,0.5384615384615384,0.15384615384615385,9176.923076923076,No
PRV51393,68,715000,10514.70588235294,13702.045437303692,69420.0,2.25,12.0,0.4852941176470588,0.6764705882352942,0.6617647058823529,0.1323529411764706,16092.941176470587,Yes
PRV51396,3,11000,3666.6666666666665,2081.6659994661327,3204.0,1.6666666666666667,12.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,8373.333333333334,No
PRV51398,1,4000,4000.0,0.0,1068.0,2.0,12.0,1.0,1.0,0.0,0.0,25100.0,No
PRV51399,65,711400,10944.615384615385,13997.299190036085,68352.0,1.9384615384615385,12.0,0.4307692307692308,0.6307692307692307,0.5384615384615384,0.16923076923076924,14273.076923076924,Yes
PRV51401,8,78000,9750.0,8614.771367499297,7476.0,2.375,12.0,0.75,0.75,0.625,0.0,28667.5,Yes
PRV51403,10,254000,25400.0,20892.316503654853,10680.0,2.0,12.0,0.3,0.8,0.7,0.0,44956.0,No
PRV51404,1,12000,12000.0,0.0,1068.0,4.0,12.0,1.0,1.0,1.0,0.0,22900.0,No
PRV51405,2,9000,4500.0,707.1067811865476,2136.0,1.5,12.0,0.0,1.0,0.5,0.0,15190.0,No
PRV51406,8,95000,11875.0,14376.940862764532,7476.0,1.75,12.0,0.25,0.5,0.625,0.0,16207.5,No
PRV51414,3,28000,9333.333333333334,7094.598884597588,3204.0,3.6666666666666665,12.0,1.0,1.0,1.0,0.3333333333333333,27883.333333333332,No
PRV51415,7,48000,6857.142857142857,3484.660262185848,7476.0,2.2857142857142856,12.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.0,14085.714285714286,No
PRV51418,17,176000,10352.941176470587,9212.363814940416,18156.0,2.1176470588235294,12.0,0.4117647058823529,0.5882352941176471,0.6470588235294118,0.23529411764705882,19524.70588235294,No
PRV51419,2,17000,8500.0,3535.5339059327375,2136.0,1.5,12.0,0.0,0.5,1.0,0.0,22750.0,No
PRV51421,84,864000,10285.714285714286,9061.465383994779,88644.0,2.107142857142857,12.0,0.5119047619047619,0.7380952380952381,0.5238095238095238,0.09523809523809523,17177.5,Yes
PRV51422,4,39000,9750.0,4112.987559751022,4272.0,3.0,12.0,0.5,0.75,0.75,0.25,13507.5,No
PRV51424,1,6000,6000.0,0.0,1068.0,0.0,12.0,0.0,0.0,0.0,0.0,6000.0,No
PRV51425,3,11000,3666.6666666666665,1154.7005383792514,3204.0,2.6666666666666665,12.0,0.6666666666666666,1.0,0.6666666666666666,0.0,7766.666666666667,No
PRV51426,6,106000,17666.666666666668,16145.174717749778,6408.0,2.3333333333333335,12.0,0.5,0.6666666666666666,0.8333333333333334,0.0,18430.0,Yes
PRV51427,5,38000,7600.0,3049.5901363953813,5340.0,1.2,12.0,0.2,0.8,0.0,0.2,12926.0,No
PRV51428,4,31000,7750.0,2753.785273643051,4272.0,3.5,12.0,1.0,1.0,0.75,0.0,17420.0,No
PRV51430,17,186000,10941.176470588236,10298.486467894772,17088.0,2.588235294117647,12.0,0.6470588235294118,0.7058823529411765,0.8823529411764706,0.17647058823529413,16487.058823529413,No
PRV51431,25,220000,8800.0,5377.421934967227,25632.0,2.52,11.52,0.72,0.48,0.64,0.32,14706.8,No
PRV51432,7,56000,8000.0,8124.03840463596,7476.0,1.2857142857142858,12.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.14285714285714285,17050.0,No
PRV51434,24,259000,10791.666666666666,12115.312505315298,24564.0,2.5,12.0,0.5,0.7916666666666666,0.625,0.25,19942.916666666668,Yes
